USE_YM,USE_HM,FDRCT_VLD_KWH
20220709,1800,1001367.151
20220709,1900,1001118.659
20220709,2000,997789.298
20220709,2100,958095.287
20220709,2200,947456.291
20220709,2300,815016.822
20220709,2400,799094.566
20220710,0100,4433824.649
20220710,0200,3340111.142
20220710,0300,4718927.818
20220710,0400,3036564.82
20220710,0500,3229577.8819999998
20220710,0600,3769824.917
20220710,0700,3991174.554
20220710,0800,4317387.894
20220710,0900,3854631.2924
20220710,1000,4319538.929
20220710,1100,4743028.7518
20220710,1200,4930219.0028
20220710,1300,6005520.5936
20220710,1400,6931708.9282
20220710,1500,5401474.5458
20220710,1600,6139386.4584
20220710,1700,6163167.923
20220710,1800,5393327.633
20220710,1900,7040167.626
20220710,2000,5607159.46
20220710,2100,5914566.562
20220710,2200,4901275.504
20220710,2300,4338289.335
20220710,2400,4740816.671
20220711,0100,4555357.336
20220711,0200,4414430.484
20220711,0300,4177666.869
20220711,0400,3909279.807
20220711,0500,5100774.001
20220711,0600,3402866.6149999998
20220711,0700,4731373.22
20220711,0800,4908756.655
20220711,0900,6720990.604
20220711,1000,6623121.312
20220711,1100,7727865.2047999995
20220711,1200,7896447.8916
20220711,1300,7192315.3396000005
20220711,1400,8015036.1736
20220711,1500,7874719.74
20220711,1600,7273034.454
20220711,1700,7041959.812
20220711,1800,6937605.393
20220711,1900,7281630.27
20220711,2000,7854473.436
20220711,2100,6675317.719
20220711,2200,6084139.939
20220711,2300,5503789.233
20220711,2400,5159907.766
20220712,0100,2131100.908
20220712,0200,1220452.819
20220712,0300,1949847.228
20220712,0400,1098058.402
20220712,0500,1963655.5559999999
20220712,0600,1966441.855
20220712,0700,2194297.357
20220712,0800,1623448.798
20220712,0900,2765442.678
20220712,1000,3847658.639
20220712,1100,3091037.4080000003
20220712,1200,3172554.491
20220712,1300,3140623.969
20220712,1400,2360132.9359999998
20220712,1500,3182559.98
20220712,1600,3173776.29
20220712,1700,3195252.084
20220712,1800,2331465.048
20220712,1900,2208270.28
20220712,2000,2899756.855
20220712,2100,2793477.234
20220712,2200,2623661.8789999997
20220712,2300,2677282.274
20220712,2400,2066106.321
20220713,0100,3775387.006
20220713,0200,3541298.536
20220713,0300,3414829.642
20220713,0400,3254180.106
20220713,0500,3575573.564
20220713,0600,3446382.217
20220713,0700,4130520.355
20220713,0800,4944275.661
20220713,0900,5929490.685
20220713,1000,6463982.451
20220713,1100,6592091.114
20220713,1200,7501582.953
20220713,1300,7428080.412
20220713,1400,8138097.294
20220713,1500,6530351.767
20220713,1600,7399302.052
20220713,1700,6452988.499
20220713,1800,7211698.127
20220713,1900,6873969.866
20220713,2000,6619354.472
20220713,2100,6358421.2
20220713,2200,6865410.962
20220713,2300,5371947.047
20220713,2400,5465131.364
20220714,0100,3825189.269
20220714,0200,3334629.153
20220714,0300,4222374.106
20220714,0400,3164284.348
20220714,0500,3259499.495
20220714,0600,3255227.823
20220714,0700,3884814.793
20220714,0800,4704400.2688
20220714,0900,5695953.429
20220714,1000,6374555.1
20220714,1100,7554904.4821999995
20220714,1200,7478243.4384
20220714,1300,7478796.3074
20220714,1400,6808014.555
20220714,1500,7125103.8208
20220714,1600,7692463.7642
20220714,1700,8530784.2756
20220714,1800,6616906.758
20220714,1900,6138351.291
20220714,2000,6720214.407
20220714,2100,5590759.123
20220714,2200,5034099.775
20220714,2300,4492350.267
20220714,2400,4072422.768
20220715,0100,4542407.661
20220715,0200,4284550.609
20220715,0300,4042600.245
20220715,0400,3087681.379
20220715,0500,4305209.054
20220715,0600,4136426.558
20220715,0700,4556335.414
20220715,0800,4672718.34
20220715,0900,5230022.83
20220715,1000,5329190.5264
20220715,1100,7517738.0394
20220715,1200,6734791.1254
20220715,1300,7483156.7258
20220715,1400,7496606.7824
20220715,1500,8411863.8186
20220715,1600,6721357.0498
20220715,1700,7499568.882
20220715,1800,7260750.326
20220715,1900,5886304.859
20220715,2000,6459060.655
20220715,2100,6934681.186
20220715,2200,4822625.997
20220715,2300,4410974.968
20220715,2400,4795941.919
20220716,0100,3705497.559
20220716,0200,3635937.262
20220716,0300,3283662.549
20220716,0400,2330970.688
20220716,0500,2895274.928
20220716,0600,2969130.011
20220716,0700,2920682.617
20220716,0800,821255.38
20220716,0900,2252596.592
20220716,1000,4292948.7316
20220716,1100,3860174.9994
20220716,1200,4015569.8868
20220716,1300,5035480.284
20220716,1400,4136945.111
20220716,1500,4761994.5928
20220716,1600,4714073.216
20220716,1700,4704322.84
20220716,1800,4650818.828
20220716,1900,5483392.769
20220716,2000,4541838.493
20220716,2100,3722378.021
20220716,2200,3439145.159
20220716,2300,3929162.515
20220716,2400,2957123.643
20220717,0100,151692.565
20220717,0200,141257.417
20220717,0300,133285.156
20220717,0400,151748.407
20220717,0500,125117.006
20220717,0600,126405.15
20220717,0700,157843.817
20220717,0800,144255.745
20220717,0900,191411.221
20220717,1000,185731.841
20220717,1100,209488.547
20220717,1200,220945.301
20220717,1300,224894.969
20220717,1400,252650.992
20220717,1500,214428.962
20220717,1600,228338.108
20220717,1700,228126.12
20220717,1800,226902.611
20220717,1900,224494.538
20220717,2000,243861.608
20220717,2100,213010.088
20220717,2200,200231.127
20220717,2300,183321.078
20220717,2400,166483.395
20220718,0100,4236690.65
20220718,0200,3352814.163
20220718,0300,3791205.544
20220718,0400,2998352.878
20220718,0500,3768985.0500000003
20220718,0600,3951943.479
20220718,0700,5413968.993
20220718,0800,4581455.2358
20220718,0900,5875836.9914
20220718,1000,7947368.7676
20220718,1100,6935380.0508
20220718,1200,7837928.2846
20220718,1300,6757335.0244
20220718,1400,8825328.2704
20220718,1500,7648313.216
20220718,1600,6781042.5176
20220718,1700,6716961.2392
20220718,1800,7347289.549
20220718,1900,7018724.826
20220718,2000,6701884.272
20220718,2100,6256171.814
20220718,2200,5972735.686
20220718,2300,5435687.595
20220718,2400,5730559.607
20220719,0100,4618815.379
20220719,0200,4175796.6119999997
20220719,0300,3355080.197
20220719,0400,3947942.253
20220719,0500,3301101.532
20220719,0600,4198526.715
20220719,0700,4643537.56
20220719,0800,4780368.2438
20220719,0900,5776441.6272
20220719,1000,6651304.9026
20220719,1100,7622735.0324
20220719,1200,8564332.8316
20220719,1300,7804595.211
20220719,1400,7082267.409
20220719,1500,6984958.074
20220719,1600,7888450.9196
20220719,1700,6996898.0534
20220719,1800,8373895.154
20220719,1900,6258325.254
20220719,2000,7001870.262
20220719,2100,5825577.966
20220719,2200,5918822.68
20220719,2300,5382612.02
20220719,2400,4186276.16
20220720,0100,3059702.239
20220720,0200,2735818.154
20220720,0300,2537162.034
20220720,0400,2429825.03
20220720,0500,2663987.953
20220720,0600,2702677.674
20220720,0700,3078203.893
20220720,0800,3673784.4284
20220720,0900,4503112.3114
20220720,1000,5246311.2442
20220720,1100,5239677.9732
20220720,1200,5409098.1404
20220720,1300,5381832.6818
20220720,1400,5500489.2114
20220720,1500,5416036.7202
20220720,1600,5519739.0618
20220720,1700,5343485.871
20220720,1800,5204859.31
20220720,1900,4851085.802
20220720,2000,4680999.467
20220720,2100,4441392.233
20220720,2200,4063967.863
20220720,2300,3645081.269
20220720,2400,3305217.201
20220721,0100,3844218.946
20220721,0200,3528581.142
20220721,0300,5028328.7299999995
20220721,0400,3116146.056
20220721,0500,4229043.549
20220721,0600,3204311.342
20220721,0700,3829310.516
20220721,0800,6217061.075
20220721,0900,6063049.939
20220721,1000,5863888.085
20220721,1100,5388879.4866
20220721,1200,6987614.0
20220721,1300,7002658.663
20220721,1400,6928141.1552
20220721,1500,6931569.2514
20220721,1600,6068101.6482
20220721,1700,6846906.636
20220721,1800,6709923.147
20220721,1900,5689107.256
20220721,2000,7082976.27
20220721,2100,5130353.641
20220721,2200,4639707.994
20220721,2300,5807025.326
20220721,2400,3986421.934
20220722,0100,1477039.258
20220722,0200,1432345.715
20220722,0300,549928.101
20220722,0400,561418.048
20220722,0500,561030.067
20220722,0600,546871.8960000001
20220722,0700,1469398.125
20220722,0800,773402.398
20220722,0900,1812088.457
20220722,1000,2041715.662
20220722,1100,2072752.2040000001
20220722,1200,2086994.482
20220722,1300,1259524.527
20220722,1400,2025061.423
20220722,1500,2114857.006
20220722,1600,2048679.0
20220722,1700,2063691.635
20220722,1800,1173051.379
20220722,1900,1109509.241
20220722,2000,1816698.309
20220722,2100,947484.3659999999
20220722,2200,1636809.397
20220722,2300,2352390.322
20220722,2400,1525847.357
20220723,0100,2295286.083
20220723,0200,3827711.7490000003
20220723,0300,2958245.9529999997
20220723,0400,1732429.938
20220723,0500,1793913.812
20220723,0600,2716684.217
20220723,0700,1952801.792
20220723,0800,3879754.649
20220723,0900,2388652.9536
20220723,1000,2769051.653
20220723,1100,3833504.2812
20220723,1200,3845585.3278
20220723,1300,3816223.7334000003
20220723,1400,3071810.1036
20220723,1500,3727964.4112
20220723,1600,3266085.692
20220723,1700,4553151.09
20220723,1800,4579735.02
20220723,1900,3698230.114
20220723,2000,3718080.949
20220723,2100,2851812.812
20220723,2200,2702316.885
20220723,2300,3982808.73
20220723,2400,2201889.657
20220724,0100,1200537.572
20220724,0200,345682.131
20220724,0300,1893313.623
20220724,0400,310772.543
20220724,0500,1065838.348
20220724,0600,256289.89
20220724,0700,1957107.602
20220724,0800,1917627.011
20220724,0900,350971.507
20220724,1000,1174949.349
20220724,1100,440803.624
20220724,1200,407318.775
20220724,1300,1246212.847
20220724,1400,1237795.979
20220724,1500,1250710.849
20220724,1600,421379.03
20220724,1700,1237561.02
20220724,1800,441376.61
20220724,1900,1332033.534
20220724,2000,1270950.277
20220724,2100,1267997.632
20220724,2200,1247565.089
20220724,2300,1214764.466
20220724,2400,1193205.489
20220725,0100,4267522.555
20220725,0200,3459503.137
20220725,0300,3905176.586
20220725,0400,2922091.58
20220725,0500,3950485.326
20220725,0600,4728448.772
20220725,0700,3913745.043
20220725,0800,5528823.2504
20220725,0900,5532986.2292
20220725,1000,7131366.0406
20220725,1100,7365942.882
20220725,1200,7607711.6864
20220725,1300,7525191.3794
20220725,1400,6688245.8632000005
20220725,1500,6771120.6736
20220725,1600,5998173.5972
20220725,1700,6933245.341
20220725,1800,6742871.456
20220725,1900,6365779.211
20220725,2000,6258438.893
20220725,2100,6507362.3040000005
20220725,2200,5992920.888
20220725,2300,4657668.451
20220725,2400,5044977.535
20220726,0100,3874678.031
20220726,0200,3695865.54
20220726,0300,5251556.73
20220726,0400,3920104.733
20220726,0500,4154014.484
20220726,0600,3413346.7260000003
20220726,0700,4669072.1110000005
20220726,0800,5684322.883
20220726,0900,5749759.48
20220726,1000,8335513.499
20220726,1100,7793202.2036
20220726,1200,8686527.1616
20220726,1300,7946400.3854
20220726,1400,7895953.549
20220726,1500,8208825.5416
20220726,1600,7172175.6776
20220726,1700,7452729.3266
20220726,1800,6715035.269
20220726,1900,7278294.203
20220726,2000,6840487.567
20220726,2100,5629303.989
20220726,2200,5449230.216
20220726,2300,5758669.305
20220726,2400,4815649.922
20220727,0100,3943347.515
20220727,0200,3575295.272
20220727,0300,4322065.505
20220727,0400,3199280.3
20220727,0500,4040227.356
20220727,0600,4499415.158
20220727,0700,5486744.921
20220727,0800,5204692.985
20220727,0900,4460117.8152
20220727,1000,6407140.4362
20220727,1100,6612965.6474
20220727,1200,6404800.853
20220727,1300,6399481.9596
20220727,1400,7779261.906
20220727,1500,6737818.2574
20220727,1600,7964219.6048
20220727,1700,6899006.2732
20220727,1800,7201183.564
20220727,1900,6941283.376
20220727,2000,6181436.818
20220727,2100,6662954.82
20220727,2200,6065155.555
20220727,2300,4553819.763
20220727,2400,4955586.071
20220728,0100,3992419.658
20220728,0200,4397162.43
20220728,0300,5111209.889
20220728,0400,3189888.077
20220728,0500,4192691.489
20220728,0600,4995806.194
20220728,0700,4096974.1634
20220728,0800,5503783.8754
20220728,0900,5583780.5682
20220728,1000,7562528.6676
20220728,1100,6743564.9312
20220728,1200,7019729.9602
20220728,1300,7000536.3834
20220728,1400,7151062.3394
20220728,1500,9035685.0096
20220728,1600,7992890.665
20220728,1700,7195581.118
20220728,1800,7880794.534
20220728,1900,6727137.663
20220728,2000,7275391.382
20220728,2100,6775806.533
20220728,2200,6435899.947
20220728,2300,6008364.389
20220728,2400,6072924.449
20220729,0100,1642741.92
20220729,0200,1713178.152
20220729,0300,1408940.635
20220729,0400,1358849.777
20220729,0500,1631081.435
20220729,0600,1475922.675
20220729,0700,1586288.985
20220729,0800,1913459.5858
20220729,0900,2191977.4476
20220729,1000,2530810.2854
20220729,1100,2750601.5779999997
20220729,1200,2910470.4926
20220729,1300,2861753.8286
20220729,1400,2941244.003
20220729,1500,2875156.4598
20220729,1600,2853842.8
20220729,1700,2803000.342
20220729,1800,2869209.696
20220729,1900,2738612.968
20220729,2000,2742177.867
20220729,2100,2591105.133
20220729,2200,2365524.964
20220729,2300,2468513.46
20220729,2400,1997306.711
20220730,0100,1560932.063
20220730,0200,1483282.544
20220730,0300,1292640.537
20220730,0400,1264104.222
